"keyword";"id.x";"likes_count.x";"from_id.x";"from_name.x";"message.x";"created_time.x";"type";"link";"story";"comments_count.x";"shares_count";"love_count";"haha_count";"wow_count";"sad_count";"angry_count";"join_id";"from_id.y";"from_name.y";"message.y";"created_time.y";"likes_count.y";"comments_count.y";"id.y"
"Enbrel";"259321830917351_320824621433738";6;"259321830917351";"Enbrelys créatrice de bijoux et d'accessoires fantaisie";"Bonjour à toutes et à tous !

Me revoilà, vacances fini, rentrées scolaire faite et super bien passé.
Je me remet au travail avec de nouvelles création que je vais vous faire découvrir . En attendant bonne journée.";"2014-09-08T12:39:51+0000";"status";NA;NA;1;2;0;0;0;0;0;"320824621433738";"10209863680085903";"Karine Krewer";"Reprise aujourd'hui aussi et le soleil reviens Grrrr lol bisou bisou ;)";"2014-09-08T12:47:04+0000";0;1;"320824621433738_320828808099986"
"Enbrel";"259321830917351_331615400354660";3;"259321830917351";"Enbrelys créatrice de bijoux et d'accessoires fantaisie";"VIVE la technologie!!!!!!!!!!!!!!!!!!!!!!!!!!! après un souci d'ordi depuis quelques semaines me revoilà";"2014-09-30T11:29:51+0000";"status";NA;NA;0;0;0;0;0;0;0;"331615400354660";NA;NA;NA;NA;NA;NA;NA
"Enbrel";"259321830917351_352190998297100";4;"259321830917351";"Enbrelys créatrice de bijoux et d'accessoires fantaisie";"bonjour à toutes et à tous ,

Après un moment d'absence pour cause je me suis consacré à de nouvelles créations .   

Voici le mois de décembre qui arrive !!!!!!!!!!!!!!!!!!  Et c'est le moment de faire plaisir.  C' est à partir de demain que je vais commencer à  les partager    ;) . Bonne journée";"2014-11-20T08:30:57+0000";"status";NA;NA;0;0;0;0;0;0;0;"352190998297100";NA;NA;NA;NA;NA;NA;NA
"Enbrel";"259321830917351_357021964480670";2;"259321830917351";"Enbrelys créatrice de bijoux et d'accessoires fantaisie";"bonjour à toutes et tous !

Voilà je suis en pleine préparation du marché de noel de TREGUEUX qui aura lieu le w-k du 13 au 14 décembre à coté de la  SALLE BLEU PLURIEL.Je ne prend absolument pas le temps de mettre des photos sur ma page . Donc je vous proposé de venir nombreux découvrir mes créations et c'est une bonne occasion pour une sortie en famille!";"2014-12-02T11:58:14+0000";"status";NA;NA;0;0;0;0;0;0;0;"357021964480670";NA;NA;NA;NA;NA;NA;NA
"Enbrel";"259321830917351_360243390825194";1;"259321830917351";"Enbrelys créatrice de bijoux et d'accessoires fantaisie";NA;"2014-12-10T10:07:26+0000";"photo";"https://www.facebook.com/enbrelyscreatricedebijoux/photos/a.299231506926383.1073741844.259321830917351/360243390825194/?type=3";"Enbrelys créatrice de bijoux et d'accessoires fantaisie added 14 new photos to the album: créations divers — in Ploufragan.";3;7;0;0;0;0;0;"360243390825194";"259321830917351";"Enbrelys créatrice de bijoux et d'accessoires fantaisie";"BO sissi rouge réservé.";"2015-01-19T14:01:48+0000";0;0;"360243390825194_378495682333298"
