"keyword";"id.x";"likes_count.x";"from_id.x";"from_name.x";"message.x";"created_time.x";"type";"link";"story";"comments_count.x";"shares_count";"love_count";"haha_count";"wow_count";"sad_count";"angry_count";"join_id";"from_id.y";"from_name.y";"message.y";"created_time.y";"likes_count.y";"comments_count.y";"id.y"
"Humira";"1687275228159822_1687275878159757";0;"1687275228159822";"Humira - Adalimumab";NA;"2016-09-22T08:49:16+0000";"photo";"https://www.facebook.com/adalimumab/photos/a.1687275868159758.1073741825.1687275228159822/1687275878159757/?type=3";"Humira - Adalimumab updated their profile picture.";0;2;0;0;0;0;0;"1687275878159757";NA;NA;NA;NA;NA;NA;NA
"Humira";"1687275228159822_1687278558159489";0;"1687275228159822";"Humira - Adalimumab";NA;"2016-09-22T08:57:31+0000";"photo";"https://www.facebook.com/adalimumab/photos/a.1687278591492819.1073741827.1687275228159822/1687278558159489/?type=3";"Humira - Adalimumab updated their cover photo.";0;0;0;0;0;0;0;"1687278558159489";NA;NA;NA;NA;NA;NA;NA
"Humira";"1687275228159822_1687284041492274";0;"1687275228159822";"Humira - Adalimumab";"http://humira-adalimumab.blogspot.ro/";"2016-09-22T09:16:45+0000";"link";"http://humira-adalimumab.blogspot.ro/";NA;0;0;0;0;0;0;0;"1687284041492274";NA;NA;NA;NA;NA;NA;NA
"Humira";"1687275228159822_1722191808001497";0;"10155137297269433";"Trish Forcier";"Hi I have a question I've been on Humira for 2 years and noticed that it starts to wear off about 4 days on average before I'm due for my next injection. My doctor spoke with me about trying to do two shots on the same day but I've heard that others take it weekly instead? Is taking weekly injections for A.S. approved?";"2016-12-07T16:20:21+0000";"status";NA;NA;0;0;0;0;0;0;0;"1722191808001497";NA;NA;NA;NA;NA;NA;NA
"Humira";"269906376385108_317236948318717";0;"1191857944264762";"Ronn Jony";"how r u ?";"2012-01-28T13:44:32+0000";"status";NA;NA;2;0;0;0;0;0;0;"317236948318717";"10203083735370042";"Dave Shipton Roush";"Yes I speak English!";"2014-08-21T20:00:15+0000";0;0;"317236948318717_755912187784522"
"Humira";"269906376385108_317236948318717";0;"1191857944264762";"Ronn Jony";"how r u ?";"2012-01-28T13:44:32+0000";"status";NA;NA;2;0;0;0;0;0;0;"317236948318717";"1191857944264762";"Ronn Jony";"tell me";"2014-08-25T16:43:06+0000";0;0;"317236948318717_757711800937894"
"Humira";"269906376385108_421799691195775";0;"1037878466318631";"Violeta Carreon";"disadvantage";"2012-07-25T02:09:36+0000";"status";NA;NA;0;0;0;0;0;0;0;"421799691195775";NA;NA;NA;NA;NA;NA;NA
"Humira";"269906376385108_453252558050488";0;"1194875837276837";"Corinna Weinberg";"Nen Scheissdreck ist des Zeugs und gehört verboten genau wie die Firma die es herstellt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!";"2012-10-22T13:16:53+0000";"status";NA;NA;2;0;0;0;0;0;0;"453252558050488";"269906376385108";"Humira";"??";"2012-12-14T19:57:29+0000";0;0;"453252558050488_5371727"
"Humira";"269906376385108_453252558050488";0;"1194875837276837";"Corinna Weinberg";"Nen Scheissdreck ist des Zeugs und gehört verboten genau wie die Firma die es herstellt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!";"2012-10-22T13:16:53+0000";"status";NA;NA;2;0;0;0;0;0;0;"453252558050488";"1194875837276837";"Corinna Weinberg";"ja weil man keine auskünfte bekommt und nur gesagt bekommt man soll den arzt fragen. obwohl man davon ausgehen sollte das die die das zeug in umlauf bringen am ehesten was dazu sagen könnten!!";"2012-12-15T07:26:04+0000";0;0;"453252558050488_5373314"
"Humira";"269906376385108_469243946451349";4;"10208818271074770";"Sandra Moore";"Mus mal fragen. Was sind sure erfahrungen mit humira? Ich soll morgen damit anfangen und bin mir bis jetzte noch nicht sicher oder total je erzeugt davon.";"2012-12-04T02:57:52+0000";"status";NA;NA;14;0;0;0;0;0;0;"469243946451349";"10154816810740210";"Helen Hillersøy";"I Don`t speak german, but I thing I can understand that you are asking if anyone have experience with humira. My husband has morbus crohns and humira has worked very well for him :D";"2012-12-04T13:06:28+0000";0;0;"469243946451349_5334138"
"Humira";"269906376385108_469243946451349";4;"10208818271074770";"Sandra Moore";"Mus mal fragen. Was sind sure erfahrungen mit humira? Ich soll morgen damit anfangen und bin mir bis jetzte noch nicht sicher oder total je erzeugt davon.";"2012-12-04T02:57:52+0000";"status";NA;NA;14;0;0;0;0;0;0;"469243946451349";"1339882629458705";"Di Ana Lindner";"ich nehm es seid november...haut wird von tag zu tag besser und die gelenkschmerzen sind auch fast weg..:-)...über dieses mittel ist die meinung sehr gespalten....ich hab es einfach rikiert...muss jeder für sich entscheiden...hab bis jetzt keine nebenwirkung...";"2012-12-30T12:37:21+0000";2;0;"469243946451349_5427866"
